keys,en,ja,ru,zh
NAME,Miko Exchange!,Miko Exchange!,Miko Exchange!,Miko Exchange!
ON,On,はい,Да,开
OFF,Off,いいえ,Нет,关
START,Start,初めから,Начать,开始
SKIP_INTRO,Skip Intro,イントロをスキップ,Пропустить вступление,跳过介绍
LANGUAGE,Lanugage,Lanugage,Lanugage,Lanugage
EXIT,Exit,終了,Выход,退出
SCORE,Score:,スコア :,Счет:,分数 : 
PAUSE,Pause,一時停止,Пауза,暂停
GAME_OVER,Game Over,ゲームオーバー,Игра окончена,歇菜
RETRY,Retry,リトライ,Начать заново,重新开始
CONTINUE,Continue,コンティニュー,Продолжить,延续
MAIN_MENU,Main Menu,タイトルへ,Главное меню,主菜单
CREDITS_GAME,Game by EasternMouse,ゲーム : EasternMouse,Игра от EasternMouse,游戏由 : EasternMouse
CREDITS_MUSIC,Music by,音楽 :,Музыка от,音乐 : 
CREDITS_MUSIC_FROGMASK,Frogmask,Frogmask,Frogmask,Frogmask
CREDITS_MUSIC_MATTHEW,Matthew Pablo,Matthew Pablo,Matthew Pablo,Matthew Pablo
CONTROLS_FULLSCREEN,Alt+Enter : fullscreen,Alt+Enter : 全画面,Alt+Enter : Полный экран,Alt+Enter : 全屏
CONTROLS_MAIN_MENU,< Arrow keys to move      Z to accept >,＜ 方向キーで移動　　Zでアクセプト ＞,< Стрелки - передвижение      Z - принять >,<  方向键 : 移动　　Z : 接受  > [本译文与DeepL，可能有不准确之处]
CONTROLS_MOVEMENT,Arrow keys : movement,方向キー : 移動,Стрелки: Передвижение,方向键 : 移动
CONTROLS_SHOOT,Z (hold): Shoot,Z（長押し）: ショット,Z (держть): Стрельба,Z（保持） : 拍摄
CONTROLS_BURST,Z (release) : Burst fire,Z（離す） : バースト,Z (отпустить): Мощный выстрел,Z（释放） : 爆燃
CONTROLS_FOCUS,Shift : Slow moving,Shift : 低速移動,Shift: Медленное передвижение,移位 : 低速移动
CONTROLS_CIRCLE,Fly around the Gate in a circle to seal it,門の周りを円で絵がくと封印できます,"Облетите вокруг Врат, что-бы закрыть их",绕着门飞一圈，把门封住。
CONTROLS_MENU,Esc : Menu,Esc : メニュー,Esc: Меню,Esc : 菜单
CONTROLS_NEXT,Z : Next,Z : 次へ,Z: Дальше,Z : 下一个
VICTORY,Victory,人生の勝利者,Победа,胜利
DESCRIPTION,"Annual Hakurei Shrine Grand Festival is coming, but Reimu became sick. Help Marisa in conducting festival instead of Reimu, but watch out for evil forces, waiting to invade the festival grounds!",いよいよ一年一度の博麗大祭りの開催日なんですが、霊夢さんが謎の病気にかかって再起不能になってしまった！魔理沙さんを操作して祭りを悪の手から守りましょう！,X,X
CONTROL_DESCRIPTION,"Arrow keys : Movement, Z : Shoot, Esc : Menu",方向キー : 移動、Z : ショット、Esc : メニュー,X,X
